rangeIndex,freqIndex,esperanto,esperantoAudio,english,englishTranslationSource,englishAudio,sampleUsage,sampleUsageAudio,relatedWords,relatedWordsAudio,esperantoAudioSource,rangeIndexOriginal,tags
1,2,la,"""""""[sound:Lepticed7_la.mp3]""""""",the,OG,[sound:hypertts-b6573ac7370b633e80b1588b10b1bef9c6964112e080e1f4357ebe73.mp3],"""""""La libro estas sur tablo.=The book is on a table.""""""",,,,Esperanto.cards,1,*Particles [DuoLingo] [kontakto] [uea/facila] Basics
2,5,ne,[sound:Lepticed7_ne.mp3],not; no,OG,[sound:hypertts-eea00db5cb2914811cd07f9a0820620f038379051f6b37998f8d68c4.mp3],"Ne, mi ne volas ĝin.=No, I don't want it.",,,,Esperanto.cards,2,*Particles [DuoLingo] [kontakto] [uea/facila] Basics
3,11,e,[sound:e_eo_ll.mp3],the letter E,ESPDIC,,,,,,Lingua Libre,1546,"""#OpenSubtitles"""
4,3,vi,[sound:Lepticed7_vi.mp3],you,OG,[sound:hypertts-04c3529f1cf381eafb9e83dd52627040192c9689640503c323b82397.mp3],Ĉu vi estas en la oficejo hodiaŭ?=Are you in the office today?Mi ŝatas vin=I like you.,,via=your,[sound:hypertts-f1a6ff8c5fcc4c4f46d4240e5008e00b59e65e2e49919ec45aee94e1.mp3],Esperanto.cards,4,*Pronouns [DuoLingo] [kontakto] [uea/facila] Basics
5,6,kaj,[sound:Lepticed7_kaj.mp3],and,OG,[sound:hypertts-6c5c50fbcf674d90c5e53e4edefa024712c9fcf49284ad4d044eca06.mp3],Li dankis min kaj foriris.=He thanked me and left.kaj kaj=both and,,,,Esperanto.cards,5,*Conjunctions [DuoLingo] [kontakto] [uea/facila] Basics
6,4,estas,[sound:estas_eo_ll.mp3],is,ChatGPT,[sound:hypertts-2e6a67e30a74bb2de9a3e168d9194fde3d3305bab71359e8b2d7ee33.mp3],,,,,Lingua Libre,2,"""#OpenSubtitles"""
7,8,de,[sound:Lepticed7_de.mp3],"of, from, by, since, (Genitive)",OG,[sound:hypertts-115286b8fb1103300744c66c20b72a7af4688cc89ff5def87bb253ea.mp3],La patro de Anna=Anna's fatherTion mi eksciis de li=I learned this from him.Estas mapo de Usono en nia oficejo.=There is a map of the United States in our office.,,,,Esperanto.cards,7,*Prepositions [DuoLingo] [kontakto] [uea/facila] Basics
8,13,al,[sound:Lepticed7_al.mp3],to,OG,[sound:hypertts-bf97b28a38a296bfda377b66277a4c57c2542a2073d9e4f7386bd216.mp3],Mi iras al la parko=I am going to the park.,,"aliri=to approach,alveni=to arrive",[sound:hypertts-e340fc2078bf99237632ac83a4743d67f73644fa642530e871cde5c0.mp3],Esperanto.cards,8,*Prepositions [DuoLingo] [kontakto] [uea/facila] Basics
10,10,ni,[sound:Lepticed7_ni.mp3],"we, us",OG,[sound:hypertts-83583e6dab01ca8c5941696477ce46ab667e27936d4826525a8a5edf.mp3],Ni parolas Esperanton.=We speak Esperanto.Ili donis monon al ni=They gave us money.,,nia=our,[sound:hypertts-9fda775b8f1167c99618eeafe92354396634f223d92ad793a6a70149.mp3],Esperanto.cards,9,*Pronouns [DuoLingo] [kontakto] [uea/facila] Basics
11,20,por,[sound:Lepticed7_por.mp3],for (person or goal),OG,[sound:hypertts-82a95e0638b47022b6f7dbd065e3dbacb6eec7d56e7114fad9ee1d89.mp3],Tiu estas donaco de mi por vi.=This is a present from me for you.,,,,Esperanto.cards,10,*Prepositions [DuoLingo] [kontakto] [uea/facila] Basics
